bed.block.order,bed.order,AB.CD.order,column.order,status,block,bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID,Notes
503,502,7,1,available,H,E,11,A,(LV1 x WL2) x (WL2),6_16-A,6,16-A,2,2088,
504,503,7,1,available,H,E,11,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,6,2518,
505,504,7,1,available,H,E,12,A,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2079,
506,505,7,1,out-of-bounds,H,E,12,B,NA,,,,,NA,rock here
507,506,7,1,available,H,E,13,A,TM2 x WL2,,,,9,2486,
619,507,7,1,out-of-bounds,,E,13,B,NA,,,,,NA,
508,508,7,1,available,H,E,14,A,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,2211,
509,509,7,1,available,H,E,14,B,WL2 x LV1,2-A_14-A,2-A,14-A,7,2025,
510,510,7,1,available,H,E,15,A,WL2 x DPR,,,,5,2018,
511,511,7,1,available,H,E,15,B,WL2,8,8,,73,1896,
512,512,7,1,available,H,E,16,A,WL2,4,4,,34,1857,
513,513,7,1,available,H,E,16,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,6,2244,
514,514,7,1,available,H,E,17,A,WL1,8,8,,5,1807,
515,515,7,1,available,H,E,17,B,WL2,2,2,,17,1840,
516,516,7,1,available,H,E,18,A,TM2 x WL2,,,,9,2000,
620,517,7,1,2024-survivor,,E,18,B,(TM2 x WL2) x (WL2),,,,16,372,
517,518,7,1,available,H,E,19,A,BH,3,3,,6,1605,
518,519,7,1,available,H,E,19,B,DPR x WL2,,,,2,1975,
519,520,7,1,available,H,E,20,A,SQ3,5,5,,1,1684,dead pre-planting
520,521,7,1,available,H,E,20,B,(WV x WL2) x (WL2 x CC),3_1,3,1,15,2367,
521,522,7,1,available,H,E,21,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,13,2104,
522,523,7,1,available,H,E,21,B,(CC x WL2) x (WL2),4_13-B,4,13-B,7,2437,
523,524,7,1,available,H,E,22,A,WL2 x DPR,,,,1,2014,added at randomization
524,525,7,1,buffer,H,E,22,B,buffer,,,,,buffer,
621,526,7,1,buffer,,E,23,A,buffer,,,,,buffer,
548,527,7,1,available,I,E,23,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,13,2524,
549,528,7,1,available,I,E,24,A,(YO11 x WL2) x (WL2),4_13-B,4,13-B,12,2584,
550,529,7,1,available,I,E,24,B,SQ3,7,7,,21,2400,moved here due to hole
551,530,7,1,available,I,E,25,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,1,2332,
552,531,7,1,available,I,E,25,B,WL1,8,8,,6,1808,
553,532,7,1,available,I,E,26,A,TM2,1,1,,9,1713,
554,533,7,1,out-of-bounds,I,E,26,B,NA,,,,,NA,hole here
622,534,7,1,2024-survivor,,E,27,A,(SQ3 x WL2) x (WL2),,,,16,95,
555,535,7,1,available,I,E,27,B,WL2,2,2,,18,1841,
556,536,7,1,available,I,E,28,A,TM2 x WL2,,,,8,1999,replaced 2001 with 1999
557,537,7,1,available,I,E,28,B,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,8,2453,
558,538,7,1,available,I,E,29,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,15,2106,
559,539,7,1,available,I,E,29,B,(WV) x (WV x WL2),3_22,3,22,1,2375,
623,540,7,1,out-of-bounds,,E,30,A,NA,,,,,NA,
624,541,7,1,out-of-bounds,,E,30,B,NA,,,,,NA,
560,542,7,1,available,I,E,41,A,BH,3,3,,2,1601,
561,543,7,1,available,I,E,41,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,3,2194,
562,544,7,1,available,I,E,42,A,WV,11,11,,18,2627,
563,545,7,1,available,I,E,42,B,WL2 x YO11,2-A_11-2,2-A,2-Nov,3,2434,
625,546,7,1,2024-survivor,,E,43,A,(TM2 x WL2) x (WL2),,,,13,369,
564,547,7,1,available,I,E,43,B,SQ3,5,5,,3,1686,
565,548,7,1,out-of-bounds,I,E,44,A,NA,,,,,NA,hole here
626,549,7,1,available,,E,44,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,35,2273,moved here due to hole
566,550,7,1,available,I,E,45,A,(WL2 x BH) x (WL2 x CC),,,,17,2208,
567,551,7,1,available,I,E,45,B,WL2,8,8,,79,1902,
568,552,7,1,available,I,E,46,A,(WL2 x WV) x (CC x WL2),1_1,1,1,9,2304,added at randomization
569,553,7,1,available,I,E,46,B,TM2 x WL2,,,,15,2613,moved here due to hole
593,554,7,1,out-of-bounds,J,E,47,A,NA,,,,,NA,hole here
594,555,7,1,available,J,E,47,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2586,
595,556,7,1,available,J,E,48,A,(TM2 x WL2) x (WL1 x TM2),2_1,2,1,1,2164,
596,557,7,1,available,J,E,48,B,DPR x WL2,,,,1,1974,
627,558,7,1,buffer,,E,49,A,buffer,,,,,buffer,
597,559,7,1,available,J,E,49,B,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,2,2503,
598,560,7,1,available,J,E,50,A,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,3,2458,
628,561,7,1,2024-survivor,,E,50,B,(WL2 x CC) x (WL2 x TM2),,,,16,1193,
629,562,7,1,2024-survivor,,E,51,A,(WL1 x WL2) x (BH x WL2),,,,3,334,
599,563,7,1,available,J,E,51,B,TM2,,,,96,1800,
630,564,7,1,buffer,,E,52,A,buffer,,,,,buffer,
631,565,7,1,buffer,,E,52,B,buffer,,,,,buffer,
632,566,7,1,buffer,,E,53,A,buffer,,,,,buffer,
633,567,7,1,buffer,,E,53,B,buffer,,,,,buffer,
634,568,8,2,buffer,,E,1,C,buffer,,,,,buffer,really only 2 buffers at the start of this bed
635,569,8,2,buffer,,E,1,D,buffer,,,,,buffer,really only 2 buffers at the start of this bed
636,570,8,2,buffer,,E,2,C,buffer,,,,,buffer,
637,571,8,2,buffer,,E,2,D,buffer,,,,,buffer,
638,572,8,2,buffer,,E,3,C,buffer,,,,,buffer,
639,573,8,2,buffer,,E,3,D,buffer,,,,,buffer,
493,574,8,2,available,G,E,4,C,TM2,,,,85,1789,
494,575,8,2,available,G,E,4,D,BH x WL2,1-3_8-1,3-Jan,1-Aug,7,2415,
495,576,8,2,out-of-bounds,G,E,5,C,NA,,,,,NA,rock here
496,577,8,2,available,G,E,5,D,WL2 x YO11,2-A_11-2,2-A,2-Nov,1,2432,
497,578,8,2,available,G,E,6,C,DPR,20,20,,15,1656,
501,583,8,2,out-of-bounds,G,E,6,D,NA,,,,,NA,unplantable
499,580,8,2,available,G,E,7,C,(WV) x (WV x WL2),3_22,3,22,3,2582,
640,581,8,2,2024-survivor,,E,7,D,WV x WL2,,,,4,1406,
500,582,8,2,available,G,E,8,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,9,2541,moved here due to rock
498,579,8,2,available,G,E,8,D,(WV x WL2) x (WL2 x CC),3_1,3,1,14,2366,moved here due to unplantable spot
525,584,8,2,available,H,E,9,C,(WV x TM2) x (TM2 x WL2),2_1,2,1,6,2636,stem broken pre-planting
526,585,8,2,available,H,E,9,D,(WV x WL2) x (WL2 x BH),2_2,2,2,5,2347,
527,586,8,2,available,H,E,10,C,TM2,1,1,,7,1711,
528,587,8,2,available,H,E,10,D,TM2,2,2,,11,2630,
529,588,8,2,available,H,E,11,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,30,2268,
530,589,8,2,available,H,E,11,D,(WL2 x WV) x (CC x WL2),1_1,1,1,6,2552,
531,590,8,2,out-of-bounds,H,E,12,C,NA,,,,,NA,rock here
532,591,8,2,available,H,E,12,D,WL1 x WL2,2-3_2-2,3-Feb,2-Feb,2,2007,
533,592,8,2,out-of-bounds,H,E,13,C,NA,,,,,NA,rock here
641,593,8,2,2024-survivor,,E,13,D,(TM2 x WL2) x (DPR x WL2),,,,2,1490,
534,594,8,2,available,H,E,14,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,2,2193,
535,595,8,2,available,H,E,14,D,WL2,2,2,,15,2394,
536,596,8,2,available,H,E,15,C,YO11,5,5,,17,2498,
642,597,8,2,out-of-bounds,,E,15,D,NA,,,,,NA,
537,598,8,2,available,H,E,16,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,34,2272,
643,599,8,2,out-of-bounds,,E,16,D,NA,,,,,NA,
538,600,8,2,available,H,E,17,C,DPR,20,20,,16,1657,
539,601,8,2,available,H,E,17,D,(TM2) x (TM2 x WL2),5-2_14,2-May,14,6,2174,
540,602,8,2,available,H,E,18,C,(CC x WL2) x (WL2 x TM2),2_1,2,1,1,2057,
541,603,8,2,available,H,E,18,D,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,31,2122,
542,604,8,2,available,H,E,19,C,WL2 x WV,,,,1,2040,
644,605,8,2,buffer,,E,19,D,buffer,,,,,buffer,
543,606,8,2,available,H,E,20,C,(WL2 x BH) x (CC x WL2),2_2,2,2,3,2190,
544,607,8,2,available,H,E,20,D,WV,11,11,,15,2626,
545,608,8,2,available,H,E,21,C,TM2,11,11,,77,1781,
547,610,8,2,available,H,E,22,C,WL2 x WL1,10-1_2-1,1-Oct,1-Feb,2,2036,moved here due to rock
546,609,8,2,available,H,E,21,D,BH x WL2,1-3_8-1,3-Jan,1-Aug,7,2416,moved here due to rock
570,611,8,2,available,I,E,22,D,WL2 x LV1,8-1_14-1,1-Aug,14-1,1,2428,
571,612,8,2,available,I,E,23,C,WL1,18,18,,12,2409,
572,613,8,2,available,I,E,23,D,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,10,2325,
573,614,8,2,available,I,E,24,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2585,
574,615,8,2,available,I,E,24,D,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,18,2502,
575,616,8,2,available,I,E,25,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,3,2080,
576,617,8,2,available,I,E,25,D,(CC x WL2) x (WL2),4_13-B,4,13-B,7,2067,
577,618,8,2,available,I,E,26,C,CC,1,1,,3,1623,
578,619,8,2,available,I,E,26,D,(LV1 x WL2) x (YO11 x WL2),8_25,8,25,1,2091,
579,620,8,2,available,I,E,27,C,DPR,20,20,,17,1658,
645,621,8,2,2024-survivor,,E,27,D,(LV1 x WL2) x (WL2),,,,16,79,
580,622,8,2,available,I,E,28,C,TM2,9,9,,67,2637,
581,623,8,2,available,I,E,28,D,WL2,5,5,,47,1870,
582,624,8,2,available,I,E,29,C,(WV x WL2) x (WL2 x BH),2_2,2,2,6,2348,
646,625,8,2,buffer,,E,29,D,buffer,,,,,buffer,
647,626,8,2,out-of-bounds,,E,30,C,NA,,,,,NA,
648,627,8,2,buffer,,E,30,D,buffer,,,,,buffer,
583,628,8,2,available,I,E,41,C,DPR x WL2,,,,2,2477,
584,629,8,2,available,I,E,41,D,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,21,2259,
585,630,8,2,available,I,E,42,C,BH x WL2,1-3_8-1,3-Jan,1-Aug,9,2473,
586,631,8,2,available,I,E,42,D,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,7,2245,
587,632,8,2,available,I,E,43,C,WL2,10,10,,92,2648,
588,633,8,2,available,I,E,43,D,(TM2 x WL2) x (TM2),3_1-3,3,3-Jan,6,2134,
589,634,8,2,available,I,E,44,C,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,4,2426,
590,635,8,2,available,I,E,44,D,TM2,8,8,,59,1763,
591,636,8,2,buffer,I,E,45,C,buffer,,,,,buffer,
592,637,8,2,buffer,I,E,45,D,buffer,,,,,buffer,
600,638,8,2,available,J,E,46,C,(WL2 x WV) x (CC x WL2),1_1,1,1,2,2297,
601,639,8,2,available,J,E,46,D,WV,11,11,,19,2628,
602,640,8,2,available,J,E,47,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,7,2594,
603,641,8,2,available,J,E,47,D,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,6,2011,
604,642,8,2,available,J,E,48,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,4,2081,
605,643,8,2,available,J,E,48,D,(WV x WL2) x (WL2 x BH),2_2,2,2,9,2568,
649,644,8,2,2024-survivor,,E,49,C,(TM2 x WL2) x (YO11 x WL2),,,,8,380,
606,645,8,2,available,J,E,49,D,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,11,2600,
607,646,8,2,available,J,E,50,C,WL1,8,8,,7,1809,
608,647,8,2,available,J,E,50,D,(WL2) x (TM2 x WL2),16_14,16,14,2,2308,
609,648,8,2,available,J,E,51,C,TM2,2,2,,11,1715,
610,649,8,2,available,J,E,51,D,(YO11 x WL2) x (WL2),4_13-B,4,13-B,6,2385,
650,650,8,2,buffer,,E,52,C,buffer,,,,,buffer,
651,651,8,2,buffer,,E,52,D,buffer,,,,,buffer,
652,652,8,2,buffer,,E,53,C,buffer,,,,,buffer,
653,653,8,2,buffer,,E,53,D,buffer,,,,,buffer,
761,654,9,1,buffer,,F,1,A,buffer,,,,,buffer,
762,655,9,1,buffer,,F,1,B,buffer,,,,,buffer,
763,656,9,1,buffer,,F,2,A,buffer,,,,,buffer,
764,657,9,1,buffer,,F,2,B,buffer,,,,,buffer,
765,658,9,1,buffer,,F,3,A,buffer,,,,,buffer,
766,659,9,1,buffer,,F,3,B,buffer,,,,,buffer,
654,660,9,1,available,J,F,4,A,WL2,2,2,,19,1842,
655,661,9,1,available,J,F,4,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,16,2528,
656,662,9,1,available,J,F,5,A,TM2,12,12,,79,1783,
767,663,9,1,out-of-bounds,,F,5,B,NA,,,,,NA,
657,664,9,1,available,J,F,6,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,2,2333,
658,665,9,1,available,J,F,6,B,(WV) x (WV x WL2),3_22,3,22,3,2377,
659,666,9,1,available,J,F,7,A,WL2,4,4,,36,1859,
768,667,9,1,buffer,,F,7,B,buffer,,,,,buffer,
660,668,9,1,available,J,F,8,A,WL2 x YO11,2-A_11-2,2-A,2-Nov,2,2048,
661,669,9,1,available,J,F,8,B,WL2 x DPR,,,,2,2015,
662,670,9,1,available,J,F,9,A,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,5,2449,
663,671,9,1,available,J,F,9,B,WL2,7,7,,69,1892,
664,672,9,1,available,J,F,10,A,BH,1,1,,15,2616,
665,673,9,1,available,J,F,10,B,DPR,20,20,,18,1659,
666,674,9,1,available,J,F,11,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,50,2288,
667,675,9,1,available,J,F,11,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,2533,
668,676,9,1,available,J,F,12,A,YO11 x WL2,,,,1,2494,
669,677,9,1,available,J,F,12,B,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,8,2136,
670,678,9,1,available,J,F,13,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,18,2109,moved here due to hole 
671,679,9,1,buffer,J,F,13,B,buffer,,,,,buffer,
688,680,9,1,available,K,F,14,A,DPR,19,19,,21,1662,
689,681,9,1,available,K,F,14,B,WL2 x YO11,2-A_11-2,2-A,2-Nov,2,2433,
690,682,9,1,available,K,F,15,A,TM2,4,4,,28,2631,
691,683,9,1,available,K,F,15,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,7,2611,
769,684,9,1,2024-survivor,,F,16,A,(DPR x WL2) x (WV x WL2),,,,7,1463,
692,685,9,1,available,K,F,16,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,5,2196,
693,686,9,1,available,K,F,17,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,51,2289,
694,687,9,1,available,K,F,17,B,WL2,9,9,,89,1912,
695,688,9,1,available,K,F,18,A,WL2 x WL1,10-1_2-1,1-Oct,1-Feb,1,2035,
696,689,9,1,available,K,F,18,B,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,4,2459,
697,690,9,1,available,K,F,19,A,SQ3 x WL2,6-C_8-A,6-C,8-A,1,1989,
698,691,9,1,available,K,F,19,B,(WV x TM2) x (WL2 x TM2),3_1,3,1,2,2341,
770,692,9,1,buffer,,F,20,A,buffer,,,,,buffer,
699,693,9,1,available,K,F,20,B,(WL2 x BH) x (CC x WL2),2_2,2,2,3,2603,
700,694,9,1,available,K,F,21,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,19,2110,
771,695,9,1,available,,F,21,B,(WV x WL2) x (WL2 x BH),2_2,2,2,8,2350,moved here due to unplantable spot
772,696,9,1,buffer,,F,22,A,buffer,,,,,buffer,
701,697,9,1,available,K,F,22,B,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,5,2010,
702,698,9,1,available,K,F,23,A,BH,3,3,,3,1602,
703,699,9,1,available,K,F,23,B,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,10,2462,
704,700,9,1,available,K,F,24,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,9,2247,
705,701,9,1,available,K,F,24,B,WL2 x SQ3,,,,2,2027,
773,702,9,1,buffer,,F,25,A,buffer,,,,,buffer,
706,703,9,1,available,K,F,25,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,18,2530,
707,704,9,1,available,K,F,26,A,WL1,18,18,,9,1811,
708,705,9,1,available,K,F,26,B,SQ3,12,12,,9,1692,
709,706,9,1,available,K,F,27,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,4,2514,
710,707,9,1,available,K,F,27,B,(WV) x (WV x WL2),3_22,3,22,4,2581,
711,708,9,1,available,K,F,28,A,TM2,3,3,,20,1724,
712,709,9,1,available,K,F,28,B,(WV x WL2) x (WL2 x CC),3_1,3,1,14,2571,
774,710,9,1,out-of-bounds,,F,29,A,NA,,,,,NA,
775,711,9,1,out-of-bounds,,F,29,B,NA,,,,,NA,
776,712,9,1,2024-survivor,,F,39,A,(SQ3 x WL2) x (LV1 x WL2),,,,13,861,
713,713,9,1,buffer,K,F,39,B,buffer,,,,,buffer,
714,714,9,1,buffer,K,F,40,A,buffer,,,,,buffer,
777,715,9,1,out-of-bounds,,F,40,B,NA,,,,,NA,
742,716,9,1,available,L,F,41,A,WL2,6,6,,57,1880,
778,717,9,1,buffer,,F,41,B,buffer,,,,,buffer,
743,718,9,1,available,L,F,42,A,TM2,9,9,,69,1773,
744,719,9,1,available,L,F,42,B,WV,18,18,,3,1924,
745,720,9,1,available,L,F,43,A,YO11,5,5,,17,1959,
746,721,9,1,available,L,F,43,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,47,2285,
747,722,9,1,available,L,F,44,A,(WL2 x BH) x (WL2 x TM2),2_3,2,3,1,2214,
748,723,9,1,available,L,F,44,B,(WV x WL2) x (WL2 x CC),3_1,3,1,11,2570,
749,724,9,1,available,L,F,45,A,WL2,5,5,,48,1871,
750,725,9,1,available,L,F,45,B,(WL2 x TM2) x (WL2 x BH),1_2,1,2,1,2290,
779,726,9,1,buffer,,F,46,A,buffer,,,,,buffer,
780,727,9,1,buffer,,F,46,B,buffer,,,,,buffer,
781,728,9,1,buffer,,F,47,A,buffer,,,,,buffer,
782,729,9,1,buffer,,F,47,B,buffer,,,,,buffer,
783,730,10,2,buffer,,F,1,C,buffer,,,,,buffer,
784,731,10,2,buffer,,F,1,D,buffer,,,,,buffer,
785,732,10,2,buffer,,F,2,C,buffer,,,,,buffer,
786,733,10,2,buffer,,F,2,D,buffer,,,,,buffer,
787,734,10,2,buffer,,F,3,C,buffer,,,,,buffer,
788,735,10,2,buffer,,F,3,D,buffer,,,,,buffer,
672,736,10,2,available,J,F,4,C,(WV x WL2) x (WL2 x BH),2_2,2,2,7,2349,
673,737,10,2,available,J,F,4,D,LV1 x WL2,14_8,14,8,2,2482,
674,738,10,2,available,J,F,5,C,SQ3,5,5,,5,1688,
675,739,10,2,available,J,F,5,D,(LV1 x WL2) x (YO11 x WL2),8_25,8,25,1,2497,
789,740,10,2,out-of-bounds,,F,6,C,NA,,,,,NA,
790,741,10,2,2024-survivor,,F,6,D,TM2,,,,95,565,
676,742,10,2,available,J,F,7,C,TM2 x WL2,,,,11,2002,
677,743,10,2,available,J,F,7,D,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,26,2117,
791,744,10,2,buffer,,F,8,C,buffer,,,,,buffer,
678,745,10,2,available,J,F,8,D,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,29,2267,
679,746,10,2,available,J,F,9,C,(LV1 x WL2) x (WL2),6_16-A,6,16-A,1,2087,
680,747,10,2,available,J,F,9,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,4,2195,
681,748,10,2,available,J,F,10,C,(WL2 x BH) x (CC x WL2),2_2,2,2,2,2189,
682,749,10,2,available,J,F,10,D,BH x WL2,1-3_8-1,3-Jan,1-Aug,9,2474,
