"","bed","row","col","Unique.ID","diam.mm","height.cm","overhd.diam","overhd.perp","canopy.area"
"1","C",1,"A","buffer",NA,NA,NA,NA,NA
"2","C",1,"B","buffer",NA,NA,NA,NA,NA
"3","C",2,"A","buffer",NA,NA,NA,NA,NA
"4","C",2,"B","buffer",NA,NA,NA,NA,NA
"5","C",3,"A","buffer",NA,NA,NA,NA,NA
"6","C",3,"B","buffer",NA,NA,NA,NA,NA
"7","C",4,"A","2566",NA,NA,NA,NA,NA
"8","C",4,"B","2595",NA,NA,NA,NA,NA
"9","C",5,"A","2642",NA,NA,NA,NA,NA
"10","C",5,"B","buffer",NA,NA,NA,NA,NA
"11","C",6,"A","2509",NA,NA,NA,NA,NA
"12","C",6,"B","2549",3.36,5.3,7.3,4.4,25.226989008326
"13","C",7,"A","2452",NA,NA,NA,NA,NA
"14","C",7,"B","2095",2.46,4.2,6.3,4.7,23.2556396181984
"15","C",8,"A","2291",3.54,5.6,1,0.9,0.706858347057703
"16","C",8,"B","2252",3.24,5.5,4.2,2.1,6.92721180116549
"17","C",9,"A",NA,NA,NA,NA,NA,NA
"18","C",9,"B","2634",2.71,11.2,1.7,0.7,0.934623814442963
"19","C",10,"A","2466",NA,NA,NA,NA,NA
"20","C",10,"B","2302",NA,NA,NA,NA,NA
"21","C",11,"A","2338",NA,NA,NA,NA,NA
"22","C",11,"B","2605",NA,NA,NA,NA,NA
"23","C",12,"A","2326",2.17,5.3,3.2,1.7,4.27256600888212
"24","C",12,"B","1819",4.23,4.6,6,5.3,24.9756615960389
"25","C",13,"A","2520",NA,NA,NA,NA,NA
"26","C",13,"B","2591",2.48,4.6,1,0.5,0.392699081698724
"27","C",14,"A","2150",NA,NA,NA,NA,NA
"28","C",14,"B","1915",NA,NA,NA,NA,NA
"29","C",15,"A","2472",2.35,7.4,5.4,5.3,22.478095436435
"30","C",15,"B","1981",2.35,5.1,4.7,4.2,15.5037597454656
"31","C",16,"A","2023",NA,NA,NA,NA,NA
"32","C",16,"B","1908",NA,NA,NA,NA,NA
"33","C",17,"A","1787",NA,NA,NA,NA,NA
"34","C",17,"B","2274",NA,NA,NA,NA,NA
"35","C",18,"A","2090",NA,NA,NA,NA,NA
"36","C",18,"B","1883",3.08,6.5,6.4,4.5,22.6194671058465
"37","C",19,"A","2063",3.21,4.3,0.6,0.9,0.424115008234622
"38","C",19,"B","2236",2.72,5.3,1.3,0.3,0.306305283725005
"39","C",20,"A","2592",NA,NA,NA,NA,NA
"40","C",20,"B","2213",3.31,7.2,2.9,3.8,8.65508776063988
"41","C",21,"A","2370",NA,5.4,5.4,4.9,20.7816354034965
"42","C",21,"B","698",2.89,NA,NA,NA,NA
"43","C",22,"A","2638",2.03,11.3,5.1,4.2,16.8232286599733
"44","C",22,"B","buffer",NA,NA,NA,NA,NA
"45","C",23,"A","2489",1.82,8.6,5,3.2,12.5663706143592
"46","C",23,"B","2564",3.1,4.3,4.8,4.2,15.8336269740926
"47","C",24,"A","buffer",NA,NA,NA,NA,NA
"48","C",24,"B","118",1.78,NA,NA,NA,NA
"49","C",25,"A","2505",1.02,8.5,5.5,5.4,23.3263254529042
"50","C",25,"B","1459",3.1,NA,NA,NA,NA
"51","C",26,"A","2602",2.21,6,4.9,4.2,16.1634942027195
"52","C",26,"B","2284",NA,14.8,6.9,6.8,36.8508818266083
"53","C",27,"A","2323",2.48,5.7,8.6,6.5,43.9037573339174
"54","C",27,"B","buffer",NA,NA,NA,NA,NA
"55","C",28,"A","2478",NA,NA,NA,NA,NA
"56","C",28,"B","2557",1.72,2.3,NA,NA,NA
"57","C",29,"A","1780",NA,NA,NA,NA,NA
"58","C",29,"B","2454",NA,NA,NA,NA,NA
"59","C",30,"A",NA,NA,NA,NA,NA,NA
"60","C",30,"B","341",3.4,NA,NA,NA,NA
"61","C",31,"A","1228",2.38,NA,NA,NA,NA
"62","C",31,"B","2442",1.8,6.2,4.6,4.7,16.9803082926528
"63","C",32,"A","939",NA,NA,NA,NA,NA
"64","C",32,"B","1700",3.52,4.3,9.2,7.6,54.9150395847496
"65","C",33,"A","2523",2.64,7.3,7.6,7.5,44.7676953136545
"66","C",33,"B","183",1.81,4.6,1.9,1.2,1.79070781254618
"67","C",34,"A","1745",2.06,13.7,6.3,5.2,25.7296438329004
"68","C",34,"B","2467",NA,NA,NA,NA,NA
"69","C",35,"A","2396",NA,NA,NA,NA,NA
"70","C",35,"B","2427",NA,NA,NA,NA,NA
"71","C",36,"A","1905",NA,NA,NA,NA,NA
"72","C",36,"B","buffer",NA,NA,NA,NA,NA
"73","C",37,"A","2381",NA,NA,NA,NA,NA
"74","C",37,"B","1289",1.72,17.5,5.7,2.5,11.1919238284136
"75","C",38,"A","2009",2.59,6.4,8.6,8.2,55.386278482788
"76","C",38,"B","2230",2.12,9.4,9.7,7.9,60.1850612611465
"77","C",39,"A","2487",2.25,7,5,5.2,20.4203522483337
"78","C",39,"B","1866",3.32,6.1,8.3,6.5,42.3722309152923
"79","C",40,"A","2069",2.49,8.6,8,5.8,36.4424747816416
"80","C",40,"B","2621",NA,NA,NA,NA,NA
"81","C",41,"A","2493",1.81,3.1,3.8,4,11.9380520836412
"82","C",41,"B","2574",2.3,5.9,6.9,6.4,34.6831828956313
"83","C",42,"A","1747",3.67,16.5,7.3,6.9,39.5605054903295
"84","C",42,"B","buffer",NA,NA,NA,NA,NA
"85","C",43,"A","73",1.58,NA,NA,NA,NA
"86","C",43,"B","2522",1.88,5.3,5.1,4.6,18.4254409133041
"87","C",44,"A","2558",2.1,6.2,4.5,4.9,17.3180295029137
"88","C",44,"B","2169",2.67,8.8,9.4,6.9,50.9409248779585
"89","C",45,"A","2165",3.04,26.7,13,9.9,101.080743629252
"90","C",45,"B","2328",2.86,10.4,12.3,7.2,69.554861350478
"91","C",46,"A","2408",1.74,4.2,5.1,3.3,13.2182510899791
"92","C",46,"B","2392",3.15,43.8,7.5,6.4,37.6991118430775
"93","C",47,"A","2154",2.63,9.1,7.6,6.8,40.5893770843801
"94","C",47,"B","1933",NA,NA,NA,NA,NA
"95","C",48,"A","1893",NA,NA,NA,NA,NA
"96","C",48,"B","2411",NA,NA,NA,NA,NA
"97","C",49,"A","buffer",NA,NA,NA,NA,NA
"98","C",49,"B","2551",NA,NA,NA,NA,NA
"99","C",50,"A","1620",2.44,6.3,6.6,5.7,29.546678907012
"100","C",50,"B","404",2.57,51.5,12.7,12.4,123.68450277183
"101","C",51,"A","2579",2.1,9.7,6.7,6,31.5730061685774
"102","C",51,"B","2361",3.14,7,8.9,7.4,51.726323041356
"103","C",52,"A","buffer",NA,NA,NA,NA,NA
"104","C",52,"B","buffer",NA,NA,NA,NA,NA
"105","C",53,"A","1990",NA,NA,NA,NA,NA
"106","C",53,"B","2286",3.21,11.6,6.2,8.8,42.8513237949648
"107","C",54,"A","1795",1.47,14.3,4.7,2.6,9.59756555671682
"108","C",54,"B","buffer",NA,NA,NA,NA,NA
"109","C",55,"A","2488",NA,NA,NA,NA,NA
"110","C",55,"B","2020",2.32,4.1,4.4,3.3,11.403981332531
"111","C",56,"A","1936",1.81,5.4,4.3,3,10.1316363078271
"112","C",56,"B","2173",2.62,10.2,6.7,7.8,41.0449080191506
"113","C",57,"A","2608",NA,NA,NA,NA,NA
"114","C",57,"B","2398",2.69,5.6,5.4,5.9,25.0227854858427
"115","C",58,"A","395",NA,NA,NA,NA,NA
"116","C",58,"B","1916",NA,NA,NA,NA,NA
"117","C",59,"A","buffer",NA,NA,NA,NA,NA
"118","C",59,"B","buffer",NA,NA,NA,NA,NA
"119","C",60,"A","buffer",NA,NA,NA,NA,NA
"120","C",60,"B","buffer",NA,NA,NA,NA,NA
"121","C",1,"C","buffer",NA,NA,NA,NA,NA
"122","C",1,"D","buffer",NA,NA,NA,NA,NA
"123","C",2,"C","buffer",NA,NA,NA,NA,NA
"124","C",2,"D","buffer",NA,NA,NA,NA,NA
"125","C",3,"C","buffer",NA,NA,NA,NA,NA
"126","C",3,"D","buffer",NA,NA,NA,NA,NA
"127","C",4,"C","2127",NA,NA,NA,NA,NA
"128","C",4,"D",NA,NA,NA,NA,NA,NA
"129","C",5,"C","2228",2.17,3.7,1.4,0.3,0.329867228626928
"130","C",5,"D",NA,NA,NA,NA,NA,NA
"131","C",6,"C","2476",2.09,5,7.2,5.2,29.4053072376005
"132","C",6,"D","2314",NA,NA,NA,NA,NA
"133","C",7,"C","2051",2.35,5.7,8.6,4.8,32.4212361850467
"134","C",7,"D","2419",2.01,3.8,5.3,4.2,17.4829631172272
"135","C",8,"C","1826",2.5,5.3,7.3,5.1,29.240373623287
"136","C",8,"D","1699",NA,NA,NA,NA,NA
"137","C",9,"C","2200",NA,NA,NA,NA,NA
"138","C",9,"D",NA,NA,NA,NA,NA,NA
"139","C",10,"C","2006",NA,NA,NA,NA,NA
"140","C",10,"D",NA,NA,NA,NA,NA,NA
"141","C",11,"C","2563",NA,NA,NA,NA,NA
"142","C",11,"D","2170",2.7,20.7,7.5,6.6,38.8772090881737
"143","C",12,"C","1621",2.79,6.3,0.9,0.3,0.212057504117311
"144","C",12,"D","2258",2.16,4.2,1.4,1.9,2.08915911463721
"145","C",13,"C","2619",NA,NA,NA,NA,NA
"146","C",13,"D","2041",NA,5.1,7.2,5.9,33.3637139811236
"147","C",14,"C","1950",NA,NA,NA,NA,NA
"148","C",14,"D","1873",2.15,7.1,5.9,4.7,21.7790910710112
"149","C",15,"C","1738",NA,NA,NA,NA,NA
"150","C",15,"D","2555",NA,NA,NA,NA,NA
"151","C",16,"C","2359",NA,NA,NA,NA,NA
"152","C",16,"D","2115",2.4,2.7,0.9,0.3,0.212057504117311
"153","C",17,"C","1608",NA,NA,NA,NA,NA
"154","C",17,"D","2217",NA,NA,NA,NA,NA
"155","C",18,"C","2402",2.66,4.2,2.5,2.1,4.1233403578366
"156","C",18,"D","1931",NA,NA,NA,NA,NA
"157","C",19,"C","1861",NA,NA,NA,NA,NA
"158","C",19,"D","2391",NA,NA,NA,NA,NA
"159","C",20,"C","2360",2.97,4.3,1,1.6,1.25663706143592
"160","C",20,"D","2254",2.86,7.4,4.4,3.9,13.4774324839002
"161","C",21,"C","2303",3.25,6.9,8.4,5.3,34.9659262344544
"162","C",21,"D","2550",2.8,5.2,6.8,4.8,25.6353960532927
"163","C",22,"C","2499",2.55,2.3,1,0.5,0.392699081698724
"164","C",22,"D","2606",NA,8.8,8.2,8.2,52.8101725068444
"165","C",23,"C","2405",2.51,8.5,7.2,5.5,31.101767270539
"166","C",23,"D","737",2.9,NA,NA,NA,NA
"167","C",24,"C","2070",2.54,8.3,7,8.4,46.18141200777
"168","C",24,"D","1911",NA,NA,NA,NA,NA
"169","C",25,"C","1820",3.22,6.9,7.1,7,39.0342887208532
"170","C",25,"D","1828",NA,NA,NA,NA,NA
"171","C",26,"C",NA,NA,NA,NA,NA,NA
"172","C",26,"D",NA,NA,NA,NA,NA,NA
"173","C",27,"C",NA,NA,NA,NA,NA,NA
"174","C",27,"D",NA,NA,NA,NA,NA,NA
"175","C",28,"C","1932",2.07,4.8,5.8,5.3,24.1431395428376
"176","C",28,"D","buffer",NA,NA,NA,NA,NA
"177","C",29,"C","711",2.17,NA,NA,NA,NA
"178","C",29,"D","2269",1.74,NA,NA,NA,NA
"179","C",30,"C","2620",NA,3.5,2.2,1.3,2.2462387473167
"180","C",30,"D","2646",2.27,26.5,10.3,7.4,59.8630480141535
"181","C",31,"C","2420",2.12,4.6,5.6,5.5,24.1902634326414
"182","C",31,"D","2096",3.09,7.8,11.9,8.9,83.1815194854237
"183","C",32,"C","2580",NA,NA,NA,NA,NA
"184","C",32,"D","2430",1.97,5.3,5.9,6.3,29.1932497334832
"185","C",33,"C","2339",2.79,8.1,8.4,6.4,42.2230052642468
"186","C",33,"D","2410",1.24,2.2,1.2,1.1,1.03672557568463
"187","C",34,"C","2471",2.02,8.7,7.5,7.8,45.9457925587507
"188","C",34,"D","2201",2.43,7,9.1,7,50.0298630084175
"189","C",35,"C","2218",2.1,9.2,6.7,6.4,33.6778732464826
"190","C",35,"D","2153",NA,NA,NA,NA,NA
"191","C",36,"C","buffer",NA,NA,NA,NA,NA
"192","C",36,"D","buffer",NA,NA,NA,NA,NA
"193","C",37,"C","2260",3.59,17.7,7.5,5.3,31.2195769950486
"194","C",37,"D","714",1.7,NA,NA,NA,NA
"195","C",38,"C","1982",3.49,5.3,4.9,3.3,12.6998883021367
"196","C",38,"D","539",1.49,11.5,6,1.2,5.65486677646163
"197","C",39,"C","2220",2.85,11.5,6.7,6.1,32.0992229380537
"198","C",39,"D","1821",3.42,7.7,8.2,5.3,34.1334041812531
"199","C",40,"C","1992",2.68,6.3,7.1,6.3,35.1308598487679
"200","C",40,"D","2204",2.27,6,5.2,4.1,16.7446888436336
"201","C",41,"C","2607",1.42,5.2,5,3.2,12.5663706143592
"202","C",41,"D","2554",3.29,6.9,5.1,4,16.0221225333079
"203","C",42,"C","2446",NA,NA,NA,NA,NA
"204","C",42,"D","2043",2.34,4.8,4.8,5,18.8495559215388
"205","C",43,"C","1156",2.38,NA,NA,NA,NA
"206","C",43,"D","1048",2.15,28.3,3.8,3,8.95353906273091
"207","C",44,"C","1252",1.96,NA,NA,NA,NA
"208","C",44,"D","1085",1.58,NA,NA,NA,NA
"209","C",45,"C",NA,NA,NA,NA,NA,NA
"210","C",45,"D","394",1.68,NA,NA,NA,NA
"211","C",46,"C",NA,NA,NA,NA,NA,NA
"212","C",46,"D","1766",3.52,35.5,15.8,7.5,93.0696823625976
"213","C",47,"C","2255",NA,NA,NA,NA,NA
"214","C",47,"D","1399",1.86,NA,NA,NA,NA
"215","C",48,"C","89",1.78,NA,NA,NA,NA
"216","C",48,"D","1919",2.92,5.8,6.3,5.7,28.2036480476024
"217","C",49,"C","2643",2.63,27.1,1.9,1.6,2.38761041672824
"218","C",49,"D","2480",NA,NA,NA,NA,NA
"219","C",50,"C","1794",3.17,24.2,5.9,6.2,28.7298648170787
"220","C",50,"D","2097",2.34,5.3,6.5,4.5,22.9728962793754
"221","C",51,"C","2397",NA,NA,NA,NA,NA
"222","C",51,"D","1831",3.07,7.2,6.5,6.7,34.2040900159589
"223","C",52,"C","2516",3.97,8.2,5.6,4.8,21.1115026321234
"224","C",52,"D","1701",NA,NA,NA,NA,NA
"225","C",53,"C","2311",3.03,5,5.1,3.3,13.2182510899791
"226","C",53,"D","2640",1.89,13.3,4.7,4.5,16.611171155856
"227","C",54,"C","buffer",NA,NA,NA,NA,NA
"228","C",54,"D","buffer",NA,NA,NA,NA,NA
"229","C",55,"C","2423",NA,NA,NA,NA,NA
"230","C",55,"D","2519",2.46,6.6,6.1,5.2,24.9128297429671
"231","C",56,"C","2450",NA,NA,NA,NA,NA
"232","C",56,"D","2559",1.83,7.8,5.5,5.4,23.3263254529042
"233","C",57,"C","1798",NA,NA,NA,NA,NA
"234","C",57,"D","1835",1.48,5.4,3.8,3.5,10.4457955731861
"235","C",58,"C","2031",2.6,11.4,7.2,5.8,32.7982273034774
"236","C",58,"D","2457",1.85,4.7,5.3,3.6,14.9853969576233
"237","C",59,"C","buffer",NA,NA,NA,NA,NA
"238","C",59,"D","buffer",NA,NA,NA,NA,NA
"239","C",60,"C","buffer",NA,NA,NA,NA,NA
"240","C",60,"D","buffer",NA,NA,NA,NA,NA
"241","D",1,"A","buffer",NA,NA,NA,NA,NA
"242","D",1,"B","buffer",NA,NA,NA,NA,NA
"243","D",2,"A","buffer",NA,NA,NA,NA,NA
"244","D",2,"B","buffer",NA,NA,NA,NA,NA
"245","D",3,"A","buffer",NA,NA,NA,NA,NA
"246","D",3,"B","buffer",NA,NA,NA,NA,NA
"247","D",4,"A","1993",2.18,8.3,9.7,7.7,58.6613888241554
"248","D",4,"B","1704",NA,NA,NA,NA,NA
"249","D",5,"A","2483",4.72,5,3.8,2.7,8.05818515645782
"250","D",5,"B","2239",NA,NA,NA,NA,NA
"251","D",6,"A",NA,NA,NA,NA,NA,NA
"252","D",6,"B",NA,NA,NA,NA,NA,NA
"253","D",7,"A",NA,NA,NA,NA,NA,NA
"254","D",7,"B",NA,NA,NA,NA,NA,NA
"255","D",8,"A","2075",NA,NA,NA,NA,NA
"256","D",8,"B",NA,NA,NA,NA,NA,NA
"257","D",9,"A","2155",1.98,5.3,5,2.8,10.9955742875643
"258","D",9,"B","2320",2.3,8.1,6.9,5.4,29.2639355681889
"259","D",10,"A","2278",2.46,11.3,4.2,4.5,14.8440252882118
"260","D",10,"B","436",3.09,NA,NA,NA,NA
"261","D",11,"A","2362",NA,NA,NA,NA,NA
"262","D",11,"B","1822",2.64,6.7,7.3,5,28.6670329640069
"263","D",12,"A",NA,NA,NA,NA,NA,NA
"264","D",12,"B","304",3.11,13.4,5,1.7,6.67588438887831
"265","D",13,"A","2470",NA,NA,NA,NA,NA
"266","D",13,"B","2209",2.71,4.5,2.7,2.4,5.08938009881546
"267","D",14,"A","2417",2.1,6,5.5,5.3,22.8943564630356
"268","D",14,"B","2205",2.32,4.5,2.2,1.6,2.76460153515902
"269","D",15,"A","1790",NA,NA,NA,NA,NA
"270","D",15,"B","1107",2.84,19.5,7.2,4.8,27.1433605270158
"271","D",16,"A","1995",2.49,6.6,5.8,4.2,19.1322992603618
"272","D",16,"B","1961",2.82,3.7,4.7,4.4,16.2420340190592
"273","D",17,"A","2240",2.67,7,5.5,4,17.2787595947439
"274","D",17,"B","403",NA,NA,NA,NA,NA
"275","D",18,"A","2521",2.35,3.9,3.8,3.2,9.55044166691297
"276","D",18,"B","2610",1.63,5.2,3.3,2.5,6.47953484802895
"277","D",19,"A","2393",NA,NA,NA,NA,NA
"278","D",19,"B","141",1.22,NA,NA,NA,NA
"279","D",20,"A","2532",NA,9.5,8.6,4.4,29.7194665029594
"280","D",20,"B","buffer",NA,NA,NA,NA,NA
"281","D",21,"A","2363",NA,NA,NA,NA,NA
"282","D",21,"B","2609",NA,NA,NA,NA,NA
"283","D",22,"A","2206",1.65,6.7,3.9,3.2,9.80176907920016
"284","D",22,"B","2593",2.25,4.7,3.6,1.9,5.37212343763855
"285","D",23,"A","1894",2,3.6,3.7,3.6,10.461503536454
"286","D",23,"B","2413",NA,7,8.5,6.5,43.393248527709
"287","D",24,"A","2597",1.94,5.4,3.8,1.8,5.37212343763855
"288","D",24,"B","2440",1.67,7.6,5.6,4.1,18.0327418316054
"289","D",25,"A","2504",NA,NA,NA,NA,NA
"290","D",25,"B","2222",2.63,15.5,7.5,5.6,32.9867228626928
"291","D",26,"A","2577",2.04,4.5,3.4,2.8,7.47699051554371
"292","D",26,"B","1803",1.82,5.6,3.7,3.4,9.8803088955399
"293","D",27,"A","1939",NA,NA,NA,NA,NA
"294","D",27,"B","2444",NA,NA,NA,NA,NA
"295","D",28,"A","1864",2.79,4.6,4.5,4.2,14.8440252882118
"296","D",28,"B","2403",1.92,5.9,4.6,3.5,12.6449104306989
"297","D",29,"A","2312",1.75,5.1,5.8,4.8,21.865484868985
"298","D",29,"B","1942",1.84,5,3,3,7.06858347057703
"299","D",30,"A","103",1.29,NA,NA,NA,NA
"300","D",30,"B","1760",2.52,29.3,10.8,4,33.9292006587698
"301","D",31,"A","1967",2.73,4.4,5.2,4.5,18.3783170235003
"302","D",31,"B","2569",2.34,7.3,6.3,5.3,26.2244446758408
"303","D",32,"A","1968",2.76,8.4,6.5,8,40.8407044966673
"304","D",32,"B","2633",1.76,10.3,5.1,5.5,22.0304184832984
"305","D",33,"A","1280",1.54,NA,NA,NA,NA
"306","D",33,"B","246",3.76,NA,NA,NA,NA
"307","D",34,"A","2406",NA,NA,NA,NA,NA
"308","D",34,"B","2224",2.43,8.6,8.5,5,33.3794219443916
"309","D",35,"A","buffer",NA,NA,NA,NA,NA
"310","D",35,"B","190",2.26,NA,NA,NA,NA
"311","D",36,"A","2130",NA,NA,NA,NA,NA
"312","D",36,"B","2507",2.26,10,7.5,7.6,44.7676953136545
"313","D",37,"A","1675",NA,NA,NA,NA,NA
"314","D",37,"B","2364",NA,NA,NA,NA,NA
"315","D",38,"A","1774",2.41,26.2,4.9,5.4,20.7816354034965
"316","D",38,"B","2418",2.32,5.9,7.8,6.3,38.5944657493506
"317","D",39,"A","2515",3.18,13,9.6,5.3,39.9610585536622
"318","D",39,"B","1838",3.47,6.4,5,4.7,18.45685683984
"319","D",40,"A","2261",3,14.2,9.3,8.4,61.3553045246087
"320","D",40,"B","2414",NA,NA,NA,NA,NA
"321","D",41,"A","2455",1.69,7.7,3.5,2.6,7.14712328691678
"322","D",41,"B","1940",2.15,8.9,5.5,4.9,21.1664805035612
"323","D",42,"A","2324",2.81,5.1,4.3,2.8,9.45619388730528
"324","D",42,"B","1985",2.98,4.3,5,4.1,16.1006623496477
"325","D",43,"A","895",1.19,NA,NA,NA,NA
