bed,row,col,unique.ID,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
A,1,A,buffer,,,,
A,1,B,buffer,,,,
A,2,A,551,94.8,3.9,N,
A,2,B,444,,,,
A,3,A,1315,,,,
A,3,B,1252,116.3,5.7,Y,
A,4,A,107,13.3,1.4,Y,
A,4,B,270,9.1,7,Y,
A,5,A,765,42,2.1,N,
A,5,B,472,32.2,3.5,N,
A,6,A,1344,,,,
A,6,B,1035,3.8,2.4,N,
A,7,A,622,76,3.1,N,
A,7,B,119,4.2,1.6,N,
A,8,A,658,84.6,2.3,N,
A,8,B,684,,,,
A,9,A,283,,,,
A,9,B,516,13.6,2.7,Y,
A,10,A,131,30.4,0.9,Y,
A,10,B,864,,,,
A,11,A,643,68.3,4.4,Y,
A,11,B,191,,,,
A,12,A,720,62.2,2.8,Y,
A,12,B,535,7.3,1.4,N,
A,13,A,1267,52,NA,NA,no leaves
A,13,B,1228,89.8,3.1,Y,
A,14,A,1023,,,,
A,14,B,1095,6.4,3.3,N,
A,15,A,1367,89.2,3.3,Y,
A,15,B,344,,,,
A,16,A,95,46.7,2,N,
A,16,B,380,6,2.3,N,
A,17,A,2002,56.2,3.4,N,
A,17,B,32,68.5,2.1,N,
A,18,A,1060,31.1,2,N,
A,18,B,78,54.3,3.7,N,
A,19,A,167,,,,
A,19,B,257,45.6,2.5,N,
A,20,A,849,,,,
A,20,B,489,91.9,4,Y,
A,21,A,403,92.7,3.5,N,
A,21,B,915,22.1,3.1,Y,
A,22,A,1293,16.5,1,N,
A,22,B,227,52.9,3.2,Y,
A,23,A,buffer,,,,
A,23,B,356,,,,
A,24,A,679,,,,
A,24,B,buffer,,,,
A,25,A,820,14.2,2.2,Y,
A,25,B,89,85,4.7,Y,
A,26,A,561,106.1,6.2,Y,
A,26,B,1377,139.4,4.6,N,
A,27,A,251,57.5,2.3,Y,
A,27,B,152,,,,
A,28,A,846,,,,
A,28,B,1389,28.3,5.4,Y,
A,29,A,729,62.6,3.2,Y,
A,29,B,619,100.8,4.8,N,
A,30,A,1364,77.4,4.4,N,
A,30,B,600,,,,
A,31,A,486,33,1.8,N,
A,31,B,1020,4.3,2.8,N,
A,32,A,1213,113.1,3.7,N,
A,32,B,1150,,,,
A,33,A,1225,87,3.3,N,
A,33,B,532,,,,
A,34,A,717,50.2,3,N,
A,34,B,441,81.3,2.5,N,
A,35,A,429,70.8,3.6,N,
A,35,B,304,,,,
A,36,A,513,49.8,3,N,
A,36,B,1080,11.8,3,N,
A,37,A,743,59.8,4.1,N,
A,37,B,544,,,,
A,38,A,1337,12.3,7.3,Y,
A,38,B,369,23.5,5.6,Y,
A,39,A,1290,21.8,NA,NA,leaves dying
A,39,B,498,75.1,2.4,N,
A,40,A,1278,33.8,1.8,Y,
A,40,B,353,,,,
A,41,A,279,6.5,4.7,N,
A,41,B,176,,,,
A,42,A,1068,,,,
A,42,B,655,94,3.1,N,
A,43,A,996,77,4.5,N,
A,43,B,899,4,2,N,
A,44,A,140,,,,
A,44,B,59,85,3.6,Y,
A,45,A,212,38.1,6.8,Y,
A,45,B,1196,49.6,5.1,Y,
A,46,A,buffer,,,,
A,46,B,buffer,,,,
A,1,C,buffer,,,,
A,1,D,buffer,,,,
A,2,C,1199,70,2.2,N,
A,2,D,1281,NA,NA,NA,Gone
A,3,C,179,,,,
A,3,D,1216,97.4,5.2,Y,
A,4,C,1240,45.6,3.8,N,
A,4,D,987,96.2,9.2,Y,
A,5,C,501,54.1,2,N,
A,5,D,62,67.6,2,N,
A,6,C,215,103.1,7.1,N,
A,6,D,1071,41.1,3.6,N,Very dry
A,7,C,143,29.4,1.7,Y,
A,7,D,1141,34.5,2,N,
A,8,C,6,82,3.6,N,
A,8,D,779,101.6,5,Y,
A,9,C,999,63.1,6,Y,
A,9,D,952,3.2,4.6,Y,
A,10,C,747,89.2,4.9,N,
A,10,D,576,,,,
A,11,C,2014,7.6,2.7,Y,
A,11,D,239,59,4.7,N,
A,12,C,708,85.6,3.9,Y,
A,12,D,1122,10,3.8,Y,
A,13,C,1380,,,,12/14 stem broken no lvs
A,13,D,1083,30.6,3.1,Y,
A,14,C,796,53.2,4.2,Y,
A,14,D,1047,41.6,2.6,N,
A,15,C,312,,,,
A,15,D,155,,,,
A,16,C,670,86.5,3.7,Y,
A,16,D,432,80.1,3.4,Y,Area dug up a lot
A,17,C,203,111.3,9.2,Y,
A,17,D,1011,9.5,5.3,N,
A,18,C,20,,,,
A,18,D,564,104,6.6,Y,
A,19,C,48,90.6,2.5,N,
A,19,D,837,,,,
A,20,C,460,14.1,3.7,N,
A,20,D,732,51,2.9,N,Most leaves Shriveled
A,21,C,2038,10.2,5.7,Y,
A,21,D,1153,12.2,2.2,N,
A,22,C,2050,104.1,5.8,Y,
A,22,D,2026,16.6,2.5,Y,
A,23,C,buffer,,,,
A,23,D,608,150.2,5.9,Y,
A,24,C,buffer,,,,
A,24,D,469,30.1,2.2,Y,
A,25,C,776,89.1,4.6,N,Branch broke off
A,25,D,761,63.4,3.6,N,
A,26,C,2011,62.3,6.9,Y,
A,26,D,333,47.3,6.7,Y,
A,27,C,236,50.9,4.5,Y,
A,27,D,1057,37.9,4.5,Y,
A,28,C,638,,,,
A,28,D,17,105.2,3.7,N,
A,29,C,980,,,,
A,29,D,75,80.3,3.9,N,
A,30,C,116,4.6,1.1,N,
A,30,D,224,44.6,4.8,N,
A,31,C,200,116.6,7,Y,
A,31,D,949,,,,
A,32,C,1264,54.1,2.2,N,
A,32,D,1092,5.8,2.8,N,
A,33,C,164,9.3,2,N,
A,33,D,1104,10.6,6.6,Y,
A,34,C,1008,96.5,6.2,Y,
A,34,D,2035,14.6,5.6,Y,
A,35,C,1138,12.1,2.5,Y,
A,35,D,3,,,,Removed to be used for crossing
A,36,C,393,,,,
A,36,D,45,80.2,3.2,N,
A,37,C,104,18.7,1.1,Y,
A,37,D,29,98.3,5.2,N,
A,38,C,2023,,,,
A,38,D,698,50.4,4.8,N,
A,39,C,667,94.1,5.3,N,
A,39,D,453,51.4,2.6,Y,
A,40,C,NA,NA,NA,NA,Dead
A,40,D,1044,7.8,4.9,N,
A,41,C,267,15.9,5.6,N,
A,41,D,573,84.2,7.1,N,
A,42,C,1237,52.5,1.5,N,
A,42,D,188,,,,
A,43,C,2047,130.6,5.9,N,
A,43,D,790,,,,12/14 pale/dying
A,44,C,1032,12.2,5.8,Y,
A,44,D,1249,67.3,2.7,N,Very wilted
A,45,C,1304,30.3,3.7,Y,
A,45,D,128,16.7,1.9,N,
A,46,C,buffer,,,,
A,46,D,buffer,,,,
B,1,A,buffer,,,,
B,1,B,buffer,,,,
B,2,A,259,56.8,2.2,N,
B,2,B,132,,,,
B,3,A,623,88.7,3.7,N,
B,3,B,1200,95.6,2.3,N,
B,4,A,381,,,,
B,4,B,1368,81.7,3.4,N,
B,5,A,271,,,,
B,5,B,850,,,,
B,6,A,180,,,,
B,6,B,228,NA,NA,NA,5/16 dead
B,7,A,838,,,,
B,7,B,748,87.2,2.5,N,
B,8,A,461,,,,
B,8,B,733,84.3,2.8,N,
B,9,A,33,72.8,2.2,N,
B,9,B,685,71.2,3,N,
B,10,A,192,,,,
B,10,B,1294,,,,
B,11,A,671,106,5.2,N,
B,11,B,577,,,,
B,12,A,2039,,,,
B,12,B,921,,,,
B,13,A,1096,9.1,6.6,N,
B,13,B,204,121.4,7.5,N,
B,14,A,1241,90,5.8,Y,
B,14,B,721,,,,
B,15,A,2051,31.2,4,N,
B,15,B,553,93.5,1.9,N,
B,16,A,96,83.2,1.8,N,
B,16,B,216,102.1,6.6,N,
B,17,A,1012,84.3,6.3,Y,
B,17,B,168,,,,
B,18,A,1282,73.9,1.5,N,
B,18,B,1142,,,,
B,19,A,345,8.8,1.7,N,
B,19,B,49,93.2,3.9,N,
B,20,A,1000,,,,
B,20,B,1084,6.5,1.6,N,
B,21,A,797,17,NA,N,5/16 dyinig
B,21,B,565,105.3,5.1,N,
B,22,A,609,107,4.5,N,
B,22,B,7,98.2,1.9,N,
B,23,A,buffer,,,,
B,23,B,433,,,,dead at planting
B,24,A,buffer,,,,
B,24,B,1347,11.6,4.2,N,
B,25,A,50,112.5,5.1,N,
B,25,B,868,15.5,3.4,N,
B,26,A,434,90.4,1.8,N,
B,26,B,80,54.1,1.4,N,
B,27,A,1295,14.5,3,N,
B,27,B,272,3.5,1.7,N,
B,28,A,2004,91.9,4.4,N,
B,28,B,2040,6.4,4.5,N,
B,29,A,462,,,,
B,29,B,955,13.6,3.8,N,
B,30,A,157,,,,
B,30,B,446,84.5,NA,N,5/16 dying
B,31,A,1270,27.4,5.7,N,
B,31,B,1370,95.3,2.7,N,
B,32,A,1242,96,6.3,Y,
B,32,B,1025,12.4,2.7,N,
B,33,A,1230,97.9,4.2,Y,
B,33,B,1202,116.7,2.4,N,
B,34,A,358,,,,
B,34,B,285,,,,
B,35,A,34,,,,
B,35,B,1317,,,,
B,36,A,1085,9.7,1.7,N,
B,36,B,229,45.8,4.7,N,
B,37,A,610,,,,
B,37,B,839,19.6,1.7,N,
B,38,A,2016,,,,
B,38,B,260,6,8.5,N,
B,39,A,412,86.3,3.6,N,
B,39,B,989,89.4,5,N,
B,40,A,1001,90.4,3.2,N,
B,40,B,624,,,,
B,41,A,801,87.2,5.2,N,
B,41,B,145,,,,
B,42,A,722,43,2,N,
B,42,B,1283,,,,
B,43,A,672,53.3,2.3,N,
B,43,B,1062,50.3,3.4,N,
B,44,A,686,,,,
B,44,B,1097,,,,
B,45,A,buffer,,,,
B,45,B,346,,,,
B,46,A,buffer,,,,
B,46,B,buffer,,,,
B,1,C,buffer,,,,
B,1,D,buffer,,,,
B,2,C,1381,3.5,0.5,N,
B,2,D,79,85,2,N,
B,3,C,2015,5.5,3,N,
B,3,D,357,3,2,N,
B,4,C,445,89.5,2.7,N,
B,4,D,767,81,1,N,
B,5,C,2003,88,3.5,N,
B,5,D,284,,,,
B,6,C,21,92,1,N,
B,6,D,1254,92,6,N,
B,7,C,504,81,6.5,N,
B,7,D,659,81,3.5,N,
B,8,C,1154,32,2.7,N,
B,8,D,156,10,3,N,
B,9,C,1128,,,,
B,9,D,144,,,,
B,10,C,781,70,5.7,Y,
B,10,D,866,,,,
B,11,C,108,9,2,Y,
B,11,D,1072,13,2,N,
B,12,C,1048,,,,
B,12,D,120,,,,
B,13,C,1061,46,0.5,N,
B,13,D,1036,19,4.2,N,
B,14,C,988,90,7,Y,
B,14,D,953,,,,
B,15,C,313,,,,
B,15,D,1229,69,3.3,N,
B,16,C,490,,,,
B,16,D,644,93,3.6,Y,
B,17,C,709,51,1.5,N,
B,17,D,473,,,,
B,18,C,2027,13,2.2,N,
B,18,D,517,4.5,0.5,N,
B,19,C,1316,,,,
B,19,D,241,74.5,4.5,Y,
B,20,C,536,5.5,2,Y,
B,20,D,1217,110.5,5.7,Y,
B,21,C,1024,27,4,Y,
B,21,D,63,73.3,4.5,Y,
B,22,C,1269,40,4.7,Y,
B,22,D,1346,,,,
B,23,C,405,101,2,N,
B,23,D,buffer,,,,
B,24,C,buffer,,,,
B,24,D,768,38,NA,NA,leaves dead
B,25,C,1143,,,,
B,25,D,169,,,,
B,26,C,646,100.5,8,N,
B,26,D,734,36.5,1.2,N,
B,27,C,1131,36,20,N,
B,27,D,205,134.5,13,Y,
B,28,C,217,135,8.6,N,
B,28,D,537,,,,
B,29,C,1382,53,6.5,Y,
B,29,D,64,70,6.7,Y,
B,30,C,580,6.5,2,N,
B,30,D,660,88.3,1.7,N,
B,31,C,1160,31,2.5,Y,
B,31,D,1255,74.5,3.3,N,
B,32,C,382,43,5.5,Y,
B,32,D,22,78.5,4.3,Y,
B,33,C,518,,,,
B,33,D,314,,,,
B,34,C,1049,48,2.7,N,
B,34,D,1037,16,5,Y,
B,35,C,491,51,40,Y,
B,35,D,133,10,1.3,N,
B,36,C,554,100,3,N,
B,36,D,783,,,,
B,37,C,2028,33,1,N,
B,37,D,474,39,4.7,Y,
B,38,C,97,,,,
B,38,D,505,45,5,Y,
B,39,C,193,,,,
B,39,D,749,84.5,6.3,Y,
B,40,C,1218,90,2.5,N,
B,40,D,851,3,NA,NA,leaves dead
B,41,C,121,,,,
B,41,D,710,60,4,N,
B,42,C,181,12,1,N,
B,42,D,8,70.5,1.5,N,weird blue stuff
B,43,C,1013,9,4.1,Y,
B,43,D,242,66.5,5,Y,
B,44,C,109,,,,
B,44,D,1073,10,1.5,N,
B,45,C,922,,,,12/14 dying/pale
B,45,D,566,87,4.5,Y,
B,46,C,buffer,,,,
B,46,D,buffer,,,,
C,1,A,buffer,,,,
C,1,B,buffer,,,,
C,2,A,244,60.3,2.2,N,
C,2,B,2030,22.2,5.1,NA,No herbiv recorded
C,3,A,1064,57.3,3.8,N,
C,3,B,508,66.7,1,N,
C,4,A,582,11.9,3.4,N,
C,4,B,195,8.7,2.5,N,
C,5,A,464,16.2,4.2,N,
C,5,B,111,3.1,0.4,N,
C,6,A,11,78.2,1.8,N,
C,6,B,1257,112.8,4.8,N,
C,7,A,1145,,,,
C,7,B,556,102.5,5.5,N,
C,8,A,1384,135,4.5,N,
C,8,B,53,80.3,2.6,N,
C,9,A,1039,,,,
C,9,B,436,88.5,6.1,Y,
C,10,A,805,,,,
C,10,B,1015,,,,
C,11,A,2006,105.8,9.3,Y,
C,11,B,1349,8.4,2.4,N,
C,12,A,991,54.1,3.3,Y,
C,12,B,1232,76.4,8.1,Y,
C,13,A,319,3.4,0.9,N,
C,13,B,288,,,,dead at planting
C,14,A,736,38.5,4.9,N,
C,14,B,662,85.6,5.1,N,
C,15,A,539,8.5,4.2,Y,
C,15,B,1220,114,4,N,
C,16,A,520,,,,
C,16,B,674,75.1,1.7,N,
C,17,A,1027,,,,
C,17,B,627,94.5,3.3,N,
C,18,A,771,83.3,4.3,N,
C,18,B,841,,,,
C,19,A,2018,15.1,5.1,N,
C,19,B,476,23,3.1,N,
C,20,A,1133,18.7,1.7,N,
C,20,B,1372,133,6.7,Y,
C,21,A,448,82.6,6.6,N,
C,21,B,207,NA,NA,NA,Gone
C,22,A,38,61.1,3.6,Y,
C,22,B,219,41.4,1.8,N,
C,23,A,buffer,,,,
C,23,B,buffer,,,,
C,24,A,189,,,,
C,24,B,950,,,,
C,25,A,762,45.5,3.9,N,
C,25,B,442,92.6,5.1,N,
C,26,A,253,43.1,6,N,
C,26,B,1197,103.5,3.9,N,
C,27,A,744,90.5,4.4,Y,
C,27,B,2012,8.1,5.8,N,
C,28,A,718,50.1,3.6,N,
C,28,B,1338,7.5,4.1,N,
C,29,A,225,,,,
C,29,B,1226,NA,NA,NA,plant + tag missing
C,30,A,374,3.3,1,N,
C,30,B,129,2.7,0.6,N,
C,31,A,268,8.5,4.6,Y,
C,31,B,430,81.4,2.7,N,
C,32,A,105,17.2,1.4,N,
C,32,B,620,89.7,5.4,Y,
C,33,A,1139,8.5,NA,NA,leaves dying
C,33,B,177,21.3,2.5,N,
C,34,A,499,76.5,3.3,N,
C,34,B,213,118.9,6.8,N,
C,35,A,4,29,1.1,Y,
C,35,B,237,48,1.3,N,
C,36,A,984,,,,
C,36,B,2048,121.6,5.2,Y,
C,37,A,1009,65.8,7.2,Y,
C,37,B,1021,9.7,3.4,Y,
C,38,A,487,73.7,5.2,N,
C,38,B,791,9,2.4,Y,
C,39,A,470,33.2,5.6,Y,
C,39,B,912,23.1,3,N,
C,40,A,76,78.5,3.9,N,
C,40,B,60,78,4.1,N,
C,41,A,514,77.1,2.9,N,
C,41,B,2024,5.7,1.9,N,
C,42,A,90,88.2,5.6,Y,
C,42,B,165,7,1.7,N,
C,43,A,153,2.4,NA,NA,leaves dying
C,43,B,656,89.8,6.7,Y,
C,44,A,280,,,,
C,44,B,2036,10.7,5.5,N,
C,45,A,1093,,,,Marked dead 12/28 Resprouted 2/23
C,45,B,46,73.8,1.8,N,
C,46,A,buffer,,,,
C,46,B,buffer,,,,
C,1,C,buffer,,,,
C,1,D,buffer,,,,
C,2,C,66,32,NA,NA,leaves dried
C,2,D,612,124,7.5,Y,
C,3,C,171,24.5,2.5,N,
C,3,D,2042,,,,12/14 dead W top broken of
C,4,C,82,55,1.3,N,12/14 top eaten
C,4,D,1172,10,3,N,
C,5,C,689,78,1.5,N,
C,5,D,99,3.5,1,N,
C,6,C,1075,13,3,Y,
C,6,D,712,67.5,1.7,N,
C,7,C,883,13.5,4,Y,
C,7,D,231,38.5,4.2,N,
C,8,C,853,,,,
C,8,D,1297,52.5,6.3,N,
C,9,C,724,68,4,N,
C,9,D,1273,3,1,N,
C,10,C,493,52,3,N,
C,10,D,360,,,,
C,11,C,1285,82,3.5,N,
C,11,D,650,89,3.7,Y,
C,12,C,785,,,,
C,12,D,1099,10,7.3,Y,
C,13,C,1051,30,NA,NA,leaves dried
C,13,D,274,,,,
C,14,C,1003,87,1.7,Y,
C,14,D,751,80,5.8,Y,
C,15,C,424,70,4.2,N,
C,15,D,1330,,,,
C,16,C,24,90.1,3.5,Y,
C,16,D,147,7.1,1.3,Y,
C,17,C,123,26.4,1.9,N,
C,17,D,1244,92.4,3.4,Y,
C,18,C,384,12.2,2.5,Y,
C,18,D,135,,,,
C,19,C,159,7.6,1.6,N,
C,19,D,928,,,,
C,20,C,1208,115,4.7,Y,
C,20,D,568,103.1,6.7,Y,
C,21,C,183,,,,
C,21,D,348,19.3,4.4,Y,
C,22,C,262,,,,
C,22,D,965,,,,
C,23,C,buffer,,,,
C,23,D,1087,,,,
C,24,C,buffer,,,,
C,24,D,605,135.2,6.5,N,
C,25,C,30,NA,NA,NA,Dead
C,25,D,1378,111,5.1,N,
C,26,C,777,77.1,3.5,N,
C,26,D,859,,,,
C,27,C,1309,NA,NA,NA,Gone
C,27,D,668,,,,
C,28,C,1045,7.5,4.4,N,
C,28,D,847,,,,
C,29,C,1069,5.2,1.8,N,
C,29,D,1214,103.7,6.6,N,
C,30,C,339,5.1,2,N,
C,30,D,549,100.5,7.1,Y,
C,31,C,562,81.1,3.4,N,
C,31,D,454,82.1,3,N,
C,32,C,1105,,,,
C,32,D,730,59.2,3,Y,
C,33,C,1238,47.5,4.5,N,
C,33,D,574,,,,
C,34,C,141,13.3,2.6,N,dried up
C,34,D,1390,125,4.2,N,
C,35,C,1058,53.1,2.5,N,
C,35,D,1250,91.1,4.6,Y,
C,36,C,1033,14.1,2.6,Y,
C,36,D,1365,80.5,4,Y,
C,37,C,997,99.1,4.2,N,
C,37,D,354,13.5,2.5,N,
C,38,C,1151,,,,
C,38,D,18,71.1,6.1,N,
C,39,C,640,82.1,3.8,N,
C,39,D,1291,51.2,1.9,N,Almost no leaves
C,40,C,117,15,1.5,N,
C,40,D,827,18.2,4.4,Y,
C,41,C,305,,,,
C,41,D,680,NA,NA,NA,Gone
C,42,C,533,5.9,2.3,N,
C,42,D,1265,31.9,3.2,N,
C,43,C,1081,5.6,2.8,N,
C,43,D,699,61.5,4.2,Y,
C,44,C,1279,65.5,NA,NA,No leaves
C,44,D,394,35.1,2.8,N,
C,45,C,201,76.5,5.5,N,
C,45,D,buffer,,,,
C,46,C,buffer,,,,
C,46,D,buffer,,,,