bed,row,col,Unique.ID,phen,total. branch,diam.mm,height. cm,overhd. diam,overhd. perp,num. flw,num. fruit,long.fruit .cm,survey.date,collected.date,survey.notes
C,1,A,buffer,,,,,,,,,,,,
C,1,B,buffer,,,,,,,,,,,,
C,2,A,buffer,,,,,,,,,,,,
C,2,B,buffer,,,,,,,,,,,,
C,3,A,buffer,,,,,,,,,,,,
C,3,B,buffer,,,,,,,,,,,,
C,4,A,2566,,,,,,,,,,,,
C,4,B,2595,,,,,,,,,,,,
C,5,A,2642,,,,,,,,,,,,
C,5,B,buffer,,,,,,,,,,,,
C,6,A,2509,,,,,,,,,,,,
C,6,B,2549,V,1,3.36,1.5,N/A,N/A,0,0,N/A,10/20/25,,
C,7,A,2452,,,,,,,,,,,,
C,7,B,2095,V,1,2.46,4.2,6.3,4.7,0,0,N/A,10/20/25,,
C,8,A,2291,V,1,3.54,5.6,1,0.9,0,0,N/A,10/20/25,,
C,8,B,2252,V,1,3.24,5.5,4.2,2.1,0,0,N/A,10/20/25,,
C,9,A,NA,,,,,,,,,,,,
C,9,B,2634,V,1,2.71,11.2,1.7,0.7,0,0,N/A,10/20/25,,
C,10,A,2466,,,,,,,,,,,,
C,10,B,2302,X,,,,,,,,,10/20/25,,
C,11,A,2338,,,,,,,,,,,,
C,11,B,2605,X,,,,,,,,,10/20/23,,
C,12,A,2326,V,1,2.17,5.3,3.2,1.7,0,0,N/A,10/20/25,,
C,12,B,1819,V,1,4.23,2.7,N/A,N/A,0,0,N/A,10/20/25,,
C,13,A,2520,,,,,,,,,,,,
C,13,B,2591,V,1,2.48,4.6,1,0.5,0,0,N/A,10/20/23,,
C,14,A,2150,,,,,,,,,,,,
C,14,B,1915,,,,,,,,,,,,
C,15,A,2472,V,1,2.35,3.2,N/A,N/A,0,0,N/A,10/20/25,,
C,15,B,1981,V,1,2.35,0.4,N/A,N/A,0,0,N/A,10/20/25,,
C,16,A,2023,,,,,,,,,,,,
C,16,B,1908,,,,,,,,,,,,
C,17,A,1787,,,,,,,,,,,,
C,17,B,2274,,,,,,,,,,,,
C,18,A,2090,,,,,,,,,,,,
C,18,B,1883,V,1,3.08,2.1,N/A,N/A,0,0,N/A,10/20/25,,
C,19,A,2063,V,1,3.21,4.3,0.6,0.9,0,0,N/A,10/20/25,,
C,19,B,2236,V,1,2.72,5.3,1.3,0.3,0,0,N/A,10/20/25,,
C,20,A,2592,X,,,,,,,,,10/20/25,,
C,20,B,2213,V,1,3.31,7.2,2.9,3.8,0,0,N/A,10/20/25,,
C,21,A,2370,X,,,,,,,,,10/20/25,,
C,21,B,698,P,1,2.89,,,,0,30,6.7,8/7/25,8/7/25. 8/14/25,8/7 collected 8 fruits. 8/14 collected 2 fruits
C,22,A,2638,V,1,2.03,8.3,N/A,N/A,0,0,N/A,10/20/25,,
C,22,B,buffer,,,,,,,,,,,,
C,23,A,2489,V,1,1.82,1.2,N/A,N/A,0,0,N/A,10/20/25,,
C,23,B,2564,V,1,3.1,0.8,N/A,N/A,0,0,N/A,10/20/25,,
C,24,A,buffer,,,,,,,,,,,,
C,24,B,118,P,1,1.78,,,,0,27,5.2,8/7/25,8/14/25,8/14 collected 10 frts
C,25,A,2505,V,1,1.02,2.4,N/A,N/A,0,0,N/A,10/20/25,,
C,25,B,1459,P,1,3.1,,,,0,24,5.5,8/14/25,8/14/25. 8/28/25,8/14 collected 3 frts. 8/28 10 fruits col.
C,26,A,2602,V,1,2.21,1.4,N/A,N/A,0,0,N/A,10/20/25,,
C,26,B,2284,X,,,,,,,,,10/20/25,,
C,27,A,2323,V,1,2.48,5.7,8.6,6.5,0,0,N/A,10/20/25,,
C,27,B,buffer,,,,,,,,,,,,
C,28,A,2478,,,,,,,,,,,,
C,28,B,2557,P,1,1.72,,,,0,1,6.1,8/14/25,9/4/25,col. 1 frt.
C,29,A,1780,,,,,,,,,,,,
C,29,B,2454,,,,,,,,,,,,
C,30,A,NA,,,,,,,,,,,,
C,30,B,341,P,1,3.4,,,,0,20,5.1,9/11/25,9/11/25,9/11 col.10 frt.
C,31,A,1228,P,1,2.38,,,,0,25,6.5,8/7/25,8/14/25. 8/21/25,8/14 col. 3 frts. 8/21 collected 7 frt.
C,31,B,2442,V,1,1.8,6.2,4.6,4.7,0,0,N/A,10/20/25,,
C,32,A,939,,,,,,,,,,,,
C,32,B,1700,V,1,3.52,4.3,9.2,7.6,0,0,N/A,10/20/25,,
C,33,A,2523,V,1,2.64,7.3,7.6,7.5,0,0,N/A,10/20/25,,
C,33,B,183,P,1,1.81,,,,0,1,0.9,7/18/25,NA,8/14 frt missing
C,34,A,1745,V,1,2.06,13.7,6.3,5.2,,,,10/20/25,,
C,34,B,2467,,,,,,,,,,,,
C,35,A,2396,,,,,,,,,,,,
C,35,B,2427,,,,,,,,,,,,
C,36,A,1905,,,,,,,,,,,,
C,36,B,buffer,,,,,,,,,,,,
C,37,A,2381,,,,,,,,,,,,
C,37,B,1289,P,1,1.72,,,,0,4,3.6,9/4/25,9/4/25. 9/29/25,9/4 col. 2 frt.. 9/29 col. 1 frt.
C,38,A,2009,V,1,2.59,6.4,8.6,8.2,,,,10/20/25,,
C,38,B,2230,V,1,2.12,9.4,9.7,7.9,,,,10/20/25,,
C,39,A,2487,V,1,2.25,7,5,5.2,,,,10/20/25,,
C,39,B,1866,V,1,3.32,6.1,8.3,6.5,,,,10/20/25,,
C,40,A,2069,V,1,2.49,8.6,8,5.8,,,,10/20/25,,
C,40,B,2621,,,,,,,,,,,,
C,41,A,2493,V,1,1.81,3.1,3.8,4,,,,10/20/25,,powdery mildew
C,41,B,2574,V,1,2.3,5.9,6.9,6.4,,,,10/20/25,,
C,42,A,1747,V,1,3.67,16.5,7.3,6.9,,,,10/20/25,,
C,42,B,buffer,,,,,,,,,,,,
C,43,A,73,P,1,1.58,,,,0,12,4.3,8/7/25,8/21/25,8/21 col.10 frt.
C,43,B,2522,V,1,1.88,5.3,5.1,4.6,,,,10/20/25,,
C,44,A,2558,V,1,2.1,6.2,4.5,4.9,,,,10/20/25,,
C,44,B,2169,V,1,2.67,8.8,9.4,6.9,,,,10/20/25,,
C,45,A,2165,P,1,3.04,26.7,13,9.9,7,11,4,10/20/25,10/20/25,col. 2 frt.
C,45,B,2328,V,1,2.86,10.4,12.3,7.2,,,,10/20/25,,
C,46,A,2408,V,1,1.74,4.2,5.1,3.3,,,,10/20/25,,
C,46,B,2392,P,1,3.15,43.8,7.5,6.4,9,6,3.3,10/20/25,,
C,47,A,2154,V,1,2.63,9.1,7.6,6.8,,,,10/20/25,,
C,47,B,1933,,,,,,,,,,,,
C,48,A,1893,,,,,,,,,,,,
C,48,B,2411,,,,,,,,,,,,
C,49,A,buffer,,,,,,,,,,,,
C,49,B,2551,,,,,,,,,,,,
C,50,A,1620,V,1,2.44,6.3,6.6,5.7,,,,10/20/25,,
C,50,B,404,P,1,2.57,,,,0,12,7.4,8/28/25,9/11/25. 9/29/25. 10/6/25,9/11 col 2 frt. 9/29 col. 5 frt. 10/6 col. 1 frt
C,51,A,2579,V,1,2.1,9.7,6.7,6,,,,10/20/25,,
C,51,B,2361,V,1,3.14,7,8.9,7.4,,,,10/20/25,,
C,52,A,buffer,,,,,,,,,,,,
C,52,B,buffer,,,,,,,,,,,,
C,53,A,1990,,,,,,,,,,,,
C,53,B,2286,V,1,3.21,11.6,6.2,8.8,,,,10/20/25,,
C,54,A,1795,P,1,1.47,,,,0,3,3.5,9/4/25,10/6/25,10/6 col. 2 fruit
C,54,B,buffer,,,,,,,,,,,,
C,55,A,2488,,,,,,,,,,,,
C,55,B,2020,V,1,2.32,4.1,4.4,3.3,,,,10/20/25,,
C,56,A,1936,V,1,1.81,5.4,4.3,3,,,,10/20/25,,
C,56,B,2173,V,1,2.62,10.2,6.7,7.8,,,,10/20/25,,
C,57,A,2608,,,,,,,,,,,,
C,57,B,2398,V,1,2.69,5.6,5.4,5.9,,,,10/20/25,,
C,58,A,395,,,,,,,,,,,,
C,58,B,1916,,,,,,,,,,,,
C,59,A,buffer,,,,,,,,,,,,
C,59,B,buffer,,,,,,,,,,,,
C,60,A,buffer,,,,,,,,,,,,
C,60,B,buffer,,,,,,,,,,,,
C,1,C,buffer,,,,,,,,,,,,
C,1,D,buffer,,,,,,,,,,,,
C,2,C,buffer,,,,,,,,,,,,
C,2,D,buffer,,,,,,,,,,,,
C,3,C,buffer,,,,,,,,,,,,
C,3,D,buffer,,,,,,,,,,,,
C,4,C,2127,,,,,,,,,,,,
C,4,D,NA,,,,,,,,,,,,
C,5,C,2228,V,1,2.17,3.7,1.4,0.3,0.3,,,10/20/25,,
C,5,D,NA,,,,,,,,,,,,
C,6,C,2476,V,1,2.09,2.3,N/A,N/A,,,,10/20/25,,
C,6,D,2314,,,,,,,,,,,,
C,7,C,2051,V,1,2.35,2.5,N/A,N/A,,,,10/20/25,,
C,7,D,2419,V,1,2.01,2,N/A,NIA,,,,10/20/25,,
C,8,C,1826,V,1,2.5,3.1,N/A,N/A,,,,10/20/25,,
C,8,D,1699,,,,,,,,,,,,
C,9,C,2200,X,,,,,,,,,10/20/25,,
C,9,D,NA,,,,,,,,,,,,
C,10,C,2006,,,,,,,,,,,,
C,10,D,NA,,,,,,,,,,,,
C,11,C,2563,,,,,,,,,,,,
C,11,D,2170,V,1,2.7,6.9,N/A,N/A,,,,10/20/25,,
C,12,C,1621,V,1,2.79,6.3,0.9,0.3,,,,10/20/25,,
C,12,D,2258,V,1,2.16,4.2,1.4,1.9,,,,10/20/25,,
C,13,C,2619,,,,,,,,,,,,
C,13,D,2041,X,,,,,,,,,10/20/25,,
C,14,C,1950,X,,,,,,,,,10/20/25,,
C,14,D,1873,V,1,2.15,7.1,5.9,4.7,,,,10/20/25,,
C,15,C,1738,,,,,,,,,,,,
C,15,D,2555,,,,,,,,,,,,
C,16,C,2359,,,,,,,,,,,,
C,16,D,2115,V,,2.4,2.7,0.9,0.3,,,,10/20/25,,
C,17,C,1608,,,,,,,,,,,,
C,17,D,2217,,,,,,,,,,,,
C,18,C,2402,v,1,2.66,4.2,2.5,2.1,,,,10/20/25,,
C,18,D,1931,,,,,,,,,,,,
C,19,C,1861,,,,,,,,,,,,
C,19,D,2391,,,,,,,,,,,,
C,20,C,2360,V,1,2.97,4.3,1,1.6,,,,10/20/25,,
C,20,D,2254,V,1,2.86,1.5,N/A,N/A,,,,10/20/25,,
C,21,C,2303,V,1,3.25,1.1,N/A,N/A,,,,10/20/25,,
C,21,D,2550,V,1,2.8,5.2,6.8,4.8,,,,10/20/25,,
C,22,C,2499,V,1,2.55,2.3,1,0.5,,,,10/20/25,,
C,22,D,2606,X,,,,,,,,,10/20/25,,
C,23,C,2405,V,1,2.51,8.5,7.2,5.5,,,,10/20/25,,
C,23,D,737,P,1,2.9,,,,0,52,4.9,8/14/25,8/28/25. 9/4/25. 9/18/25,8/28 col. 2 frt. 9/4 col 7 frt. 9/18 col. 2 frt.
C,24,C,2070,V,1,2.54,8.3,7,8.4,,,,10/20/25,,
C,24,D,1911,,,,,,,,,,,,
C,25,C,1820,V,1,3.22,0.7,N/A,N/A,,,,10/20/25,,
C,25,D,1828,,,,,,,,,,,,
C,26,C,NA,,,,,,,,,,,,
C,26,D,NA,,,,,,,,,,,,
C,27,C,NA,,,,,,,,,,,,
C,27,D,NA,,,,,,,,,,,,
C,28,C,1932,V,1,2.07,4.8,5.8,5.3,,,,10/20/25,,
C,28,D,buffer,,,,,,,,,,,,
C,29,C,711,P,1,2.17,,,,0,20,4.1,8/7/25,9/4/25. 9/18/25,9/4/25 col. 8 frt. 9/18 col 2 frt.
C,29,D,2269,P,1,1.74,,,,0,2,4.7,8/7/25,8/14/25,8/14 col. 2 frt.
C,30,C,2620,,,,,,,,,,,,
C,30,D,2646,P,1,2.27,,,,0,5,5.5,8/28/25,10/6/2025,10/6 col. 4 fruits
C,31,C,2420,V,1,2.12,4.6,5.6,5.5,,,,10/20/25,,
C,31,D,2096,V,4,3.09,7.8,11.9,8.9,,,,10/20/25,,
C,32,C,2580,X,,,,,,,,,10/20/25,,
C,32,D,2430,V,1,1.97,5.3,5.9,6.3,,,,10/20/25,,
C,33,C,2339,V,1,2.79,8.1,8.4,6.4,,,,10/20/23,,
C,33,D,2410,V,1,1.24,2.2,1.2,1.1,,,,10/20/25,,
C,34,C,2471,V,1,2.02,8.7,7.5,7.8,,,,10/20/25,,aphids
C,34,D,2201,V,1,2.43,7,9.1,7,,,,10/20/25,,powdery mildew
C,35,C,2218,V,1,2.1,9.2,6.7,6.4,,,,10/20/25,,
C,35,D,2153,,,,,,,,,,,,
C,36,C,buffer,,,,,,,,,,,,
C,36,D,buffer,,,,,,,,,,,,
C,37,C,2260,V,1,3.59,17.7,7.5,5.3,,,,10/20/25,,
C,37,D,714,X,1,1.7,,,,0,0,NA,7/18/25,NA,
C,38,C,1982,V,1,3.49,5.3,4.9,3.3,,,,10/20/25,,
C,38,D,539,P,1,1.49,11.5,6,1.2,3,3,0.6,10/20/25,,
C,39,C,2220,V,1,2.85,11.5,6.7,6.1,,,,10/20/25,,
C,39,D,1821,V,1,3.42,7.7,8.2,5.3,,,,10/20/25,,
C,40,C,1992,V,1,2.68,6.3,7.1,6.3,,,,10/20/25,,
C,40,D,2204,V,1,2.27,6,5.2,4.1,,,,10/20/25,,
C,41,C,2607,V,1,1.42,5.2,5,3.2,,,,10/20/25,,10/20/25
C,41,D,2554,V,1,3.29,6.9,5.1,4,,,,10/20/25,,
C,42,C,2446,,,,,,,,,,,,
C,42,D,2043,V,1,2.34,4.8,4.8,5,,,,10/20/25,,
C,43,C,1156,P,1,2.38,,,,0,16,5.1,8/28/25,8/28/25. 9/4/25. 9/18/25,8/28 col. 4 frt. 9/4 col 3 frt. 9/18 col. 3 frt.
C,43,D,1048,P,1,2.15,,,,0,4,4.6,8/14/25,8/28/25. 9/24/25,"8/28 col. 1 frt, 1 alr. dehisced (did not col). 9/24 col. 1 frt. (partially dehisced)"
C,44,C,1252,P,1,1.96,,,,0,14,5.3,8/7/25,8/7/25. 8/14/25. 8/28/25,8/7 col. 2 frt. 8/14 col. 3 frt. 8/28 col. 6 frt.
C,44,D,1085,P,1,1.58,,,,0,3,3.6,8/7/25,8/14/25,
C,45,C,NA,,,,,,,,,,,,
C,45,D,394,P,1,1.68,,,,0,3,3.3,9/11/25,9/11/2025,9/11 col. 1 frt.
C,46,C,NA,,,,,,,,,,,,
C,46,D,1766,P,1,3.52,35.5,15.8,7.5,12,11,6.1,10/20/25,,
C,47,C,2255,,,,,,,,,,,,
C,47,D,1399,P,1,1.86,,,,0,5,6.2,8/1/25,8/7/25,8/7. col. all frt.
C,48,C,89,P,1,1.78,,,,0,16,3,8/7/25,8/14/25,8/14 col. 10 frt.
C,48,D,1919,V,1,2.92,5.8,6.3,5.7,,,,10/20/25,,
C,49,C,2643,P,1,2.63,,,,0,14,5.7,8/7/25,9/4/25. 9/11/25. 9/18/25,9/4 col. 7 frt. 9/11 col. 7 frt. 9/18 col. 2 frt.
C,49,D,2480,X,,,,,,,,,10/20/25,,
C,50,C,1794,V,1,3.17,24.2,5.9,6.2,,,,10/20/25,,
C,50,D,2097,V,1,2.34,5.3,6.5,4.5,,,,10/20/25,,powdery mildew
C,51,C,2397,,,,,,,,,,,,
C,51,D,1831,V,1,3.07,7.2,6.5,6.7,,,,10/20/25,,
C,52,C,2516,V,1,3.97,8.2,5.6,4.8,,,,10/20/25,,
C,52,D,1701,X,,,,,,,,,10/20/25,,
C,53,C,2311,V,1,3.03,5,5.1,3.3,,,,10/20/25,,powdery mildew
C,53,D,2640,V,1,1.89,13.3,4.7,4.5,,,,10/20/25,,
C,54,C,buffer,,,,,,,,,,,,
C,54,D,buffer,,,,,,,,,,,,
C,55,C,2423,,,,,,,,,,,,
C,55,D,2519,V,1,2.46,6.6,6.1,5.2,,,,10/20/25,,
C,56,C,2450,,,,,,,,,,,,
C,56,D,2559,V,1,1.83,7.8,5.5,5.4,,,,10/20/25,,
C,57,C,1798,,,,,,,,,,,,
C,57,D,1835,V,1,1.48,5.4,3.8,3.5,,,,10/20/25,,
C,58,C,2031,V,1,2.6,11.4,7.2,5.8,,,,10/20/25,,
C,58,D,2457,V,1,1.85,4.7,5.3,3.6,,,,10/20/05,,
C,59,C,buffer,,,,,,,,,,,,
C,59,D,buffer,,,,,,,,,,,,
C,60,C,buffer,,,,,,,,,,,,
C,60,D,buffer,,,,,,,,,,,,
D,1,A,buffer,,,,,,,,,,,,
D,1,B,buffer,,,,,,,,,,,,
D,2,A,buffer,,,,,,,,,,,,
D,2,B,buffer,,,,,,,,,,,,
D,3,A,buffer,,,,,,,,,,,,
D,3,B,buffer,,,,,,,,,,,,
D,4,A,1993,V,1,2.18,8.3,9.7,7.7,,,,10/20/25,,
D,4,B,1704,,,,,,,,,,,,
D,5,A,2483,V,1,4.72,5,3.8,2.7,,,,10/20/25,,
D,5,B,2239,,,,,,,,,,,,
D,6,A,NA,,,,,,,,,,,,
D,6,B,NA,,,,,,,,,,,,
D,7,A,NA,,,,,,,,,,,,
D,7,B,NA,,,,,,,,,,,,
D,8,A,2075,,,,,,,,,,,,
D,8,B,NA,,,,,,,,,,,,
D,9,A,2155,V,1,1.98,5.3,5,2.8,,,,10/20/25,,
D,9,B,2320,P,1,2.3,,,,0,2,3.9,8/28/25,9/11/25,9/11 col. 2 frt.
D,10,A,2278,V,1,2.46,11.3,4.2,4.5,,,,10/20/25,,
D,10,B,436,X,1,3.09,,,,4,2,2.4,7/18/25,NA,2 (out of 4) flwrs dry
D,11,A,2362,,,,,,,,,,,,
D,11,B,1822,V,1,2.64,2.8,N/A,N/A,,,,10/20/25,,
D,12,A,NA,,,,,,,,,,,,
D,12,B,304,P,1,3.11,,,,0,9,4.5,8/14/25,8/28/2025. 9/4/2025,8/28 col. 3 frt. 9/4 2nd repro col. 2
D,13,A,2470,,,,,,,,,,,,
D,13,B,2209,V,1,2.71,4.5,2.7,2.4,,,,10/20/25,,
D,14,A,2417,V,1,2.1,6,5.5,5.3,,,,10/20/25,,
D,14,B,2205,V,1,2.32,4.5,2.2,1.6,,,,10/20/25,,
D,15,A,1790,,,,,,,,,,,,
D,15,B,1107,P,1,2.84,,,,0,12,6.1,7/18/25,8/14/25. 8/28/25,8/14 col. 4 frt. 8/28 col. 6 frt. 10/6 2 frt still on plant. updated fruit count from 9 to 12.
D,16,A,1995,V,1,2.49,6.6,5.8,4.2,,,,10/20/25,,
D,16,B,1961,V,1,2.82,3.7,4.7,4.4,,,,10/20/25,,
D,17,A,2240,V,1,2.67,7,5.5,4,,,,10/20/25,,
D,17,B,403,,,,,,,,,,,,
D,18,A,2521,V,1,2.35,3.9,3.8,3.2,,,,10/20/25,,
D,18,B,2610,V,1,1.63,5.2,3.3,2.5,,,,10/20/25,,
D,19,A,2393,,,,,,,,,,,,
D,19,B,141,P,1,1.22,,,,0,3,3.8,7/18/25,8/7/25,8/7 col. 3 frt.
D,20,A,2532,X,,,,,,,,,10/20/25,,
D,20,B,buffer,,,,,,,,,,,,
D,21,A,2363,,,,,,,,,,,,
D,21,B,2609,,,,,,,,,,,,
D,22,A,2206,V,1,1.65,1.5,N/A,N/A,,,,10/20/25,,
D,22,B,2593,V,1,2.25,4.7,3.6,1.9,,,,10/20/25,,
D,23,A,1894,V,1,2,1.3,N/A,N/A,,,,10/20/15,,
D,23,B,2413,X,,,,,,,,,10/20/25,,
D,24,A,2597,V,1,1.94,5.4,3.8,1.8,,,,10/20/25,,
D,24,B,2440,V,1,1.67,7.6,5.6,4.1,,,,10/20/25,,
D,25,A,2504,,,,,,,,,,,,
D,25,B,2222,V,1,2.63,15.5,7.5,5.6,,,,10/20/95,,
D,26,A,2577,V,1,2.04,2.3,N/A,N/A,,,,10/20/25,,
D,26,B,1803,V,1,1.82,5.6,3.7,3.4,,,,10/20/25,,
D,27,A,1939,,,,,,,,,,,,
D,27,B,2444,,,,,,,,,,,,
D,28,A,1864,V,1,2.79,4.6,4.5,4.2,,,,10/20/25,,
D,28,B,2403,V,1,1.92,5.9,4.6,3.5,,,,10/20/25,,
D,29,A,2312,V,1,1.75,5.1,5.8,4.8,,,,10/20/25,,powdery mildew
D,29,B,1942,V,1,1.84,5,3,3,,,,10/20/25,,powdery mildew
D,30,A,103,P,1,1.29,,,,0,16,4.8,7/18/25,8/7/25,7/18 taped 1 frt. 8/17 col. 10 frt.
D,30,B,1760,P,1,2.52,29.3,10.8,4,5,6,5.7,10/20/25,10/20/25,10/20 col. 4 frt.
D,31,A,1967,V,1,2.73,4.4,5.2,4.5,,,,10/20/25,,
D,31,B,2569,V,1,2.34,7.3,6.3,5.3,,,,10/20/25,,
D,32,A,1968,V,1,2.76,8.4,6.5,8,,,,10/20/25,,
D,32,B,2633,V,1,1.76,10.3,5.1,5.5,,,,10/20/25,,
D,33,A,1280,P,1,1.54,,,,0,1,3.3,7/18/25,8/7/25,
D,33,B,246,P,1,3.76,,,,0,29,5.7,8/7/25,8/14/25. 8/28/25,8/14 col. 5 frts. 8/28 col. 6 frt.
D,34,A,2406,,,,,,,,,,,,
D,34,B,2224,V,1,2.43,8.6,8.5,5,,,,10/20/25,,
D,35,A,buffer,,,,,,,,,,,,
D,35,B,190,P,1,2.26,,,,0,30,5.7,8/14/25,8/14/15,8/14 col. 10 frt. some already dehising.
D,36,A,2130,,,,,,,,,,,,
D,36,B,2507,V,1,2.26,10,7.5,7.6,,,,10/20/25,,
D,37,A,1675,X,,,,,,,,,10/20/25,,
D,37,B,2364,X,,,,,,,,,10/20/25,,
D,38,A,1774,P,1,2.41,26.2,4.9,5.4,1,1,0.6,10/20/25,,
D,38,B,2418,V,1,2.32,5.9,7.8,6.3,,,,10/20/25,,powdery mildew
D,39,A,2515,V,1,3.18,13,9.6,5.3,0,0,NA,,,
D,39,B,1838,V,1,3.47,6.4,5,4.7,0,0,NA,,,
D,40,A,2261,V,1,3,14.2,9.3,8.4,0,0,NA,,,
D,40,B,2414,,,,,,,,,,,,
D,41,A,2455,V,1,1.69,7.7,3.5,2.6,0,0,NA,,,
D,41,B,1940,,1,2.15,8.9,5.5,4.9,0,0,NA,,,
D,42,A,2324,V,1,2.81,5.1,4.3,2.8,0,0,NA,,,
D,42,B,1985,V,1,2.98,4.3,5,4.1,0,0,NA,,,
D,43,A,895,X,1,1.19,,,,0,1,2.6,7/18/25,7/18/25,
D,43,B,1804,,1,3.28,7.8,7,4.9,0,0,NA,,,
D,44,A,2207,V,1,2.07,5.5,6.7,5,0,0,NA,,,
